sentence1,sentence2,label
"喜欢打篮球的男生喜欢什么样的女生","打篮球的男生喜欢什么样的女生",1
"我手机丢了，我想换个手机","我想买个新手机，求推荐",1
"大家觉得她好看吗","好看吗？？？",1
"求秋天好看的马甲搭配","秋天马甲怎么搭配才好看",1
"你在干嘛呢？","你现在在做什么？",1
"好看的各种短碎发","求好看的短碎发发型",1
"这个字怎么念","这个字怎么读",1
"红烧肉怎么做","求红烧肉的做法",1
"哪里可以看这部电影","这电影哪里能看",1
"微信怎么解除绑定","怎么解绑微信",1
"苹果手机怎么截图","iPhone怎么截屏",1
"今天天气真好","今天天气真不错",1
"我想听音乐","给我放首音乐吧",1
"去北京旅游要准备什么","去北京玩需要带什么",1
"如何快速入睡","怎么才能快点睡着",1
"电脑开不了机怎么办","电脑无法启动怎么解决",1
"有什么好看的动漫推荐","求推荐好看的动漫",1
"感冒了吃什么药好得快","严重感冒吃什么药最有效",1
"怎样瘦肚子最有效","如何减掉肚子上的赘肉",1
"高铁票退票扣多少手续费","高铁退票手续费怎么算的",1
"喜欢打篮球的男生喜欢什么样的女生","男孩子喜欢什么类型的女孩",0
"我手机丢了，我想换个手机","我的手机一直卡怎么回事",0
"大家觉得她好看吗","她看起来心情不好",0
"求秋天好看的马甲搭配","秋天适合穿什么鞋子",0
"你在干嘛呢？","我今天去逛街了",0
"好看的各种短碎发","长发怎么护理比较好",0
"这个字怎么念","这个字写得真好看",0
"红烧肉怎么做","今天晚上吃红烧肉",0
"哪里可以看这部电影","这部电影的票房多少",0
"微信怎么解除绑定","微信怎么找回密码",0
"苹果手机怎么截图","苹果手机电池不耐用",0
"今天天气真好","昨天下了很大的雨",0
"我想听音乐","我想去看电影",0
"去北京旅游要准备什么","北京有什么好吃的美食",0
"如何快速入睡","早上总是起不来怎么办",0
"电脑开不了机怎么办","电脑玩游戏很卡",0
"有什么好看的动漫推荐","推荐几本好看的小说",0
"感冒了吃什么药好得快","肚子痛吃什么药",0
"怎样瘦肚子最有效","怎样锻炼手臂肌肉",0
"高铁票退票扣多少手续费","高铁票怎么改签",0
"你叫什么名字","你的名字是",1
"我喜欢苹果","我爱吃苹果",1
"怎么减肥","如何变瘦",1
"这首歌真好听","这曲子很棒",1
"我很开心","我今天很高兴",1
"怎么去火车站","火车站怎么走",1
"今天星期几","今天是周几",1
"如何学好英语","英语怎么学才好",1
"我想买衣服","我要去买件衣服",1
"这只猫好可爱","好萌的猫咪啊",1
"你叫什么名字","你是哪里人",0
"我喜欢苹果","我喜欢橘子",0
"怎么减肥","怎么增肌",0
"这首歌真好听","这部电影评分很高",0
"我很开心","我很难过",0
"怎么去火车站","怎么去机场",0
"今天星期几","今天几号",0
"如何学好英语","如何学好数学",0
"我想买衣服","我想买双鞋",0
"这只猫好可爱","这只狗真凶",0
"蓝莓酱怎么吃","蓝莓鹅肝怎么做",0
"为什么我新买来的鼠标不能用","为什么我的鼠标右键不能用",0
"请问化学、英语好，选什么专业合适呢","选化学考什么大学比较好？",0
"审视的近义词是什么","审视的近义词是什么？",1
"苹果6怎么分辨真假","苹果怎么分辨真假",1
"抢火车票用什么软件好","有什么软件可以看火车票的么",0
"这是谁好可爱啊","这两个石头，留哪个好？",0
"什么铸什么宝成语成语","臣是斜着的猜成语？什么成语？",0
"脸上长了小黑点怎么去除？","哎！脸上长了小黑点。不知怎样去除",1
"哲学家们都干了些什么?","哲学家们都干了什么？",1
"男生成人礼送什么礼物好？","成人礼礼物送男生什么好？",0
"为什么黑人喜欢吃白色巧克力？","为什么黑人喜欢吃白色巧克力",1
"如何一夜暴富","爱拼音怎么样",0
"女朋友突然不理我了怎么办","女朋友突然就不理我了.我到底该怎么办.",1
"招财宝您是可是可以说一下的。","同一笔资金可以全部变现，也可以部分变现。",0
"雷克萨斯是哪个国家的？","雷克萨斯哪个国家产的",1
